Movie ID,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
23890098,0.545,0.508,0.0,0.0,0.514,0.0,0.578,0.656
31186339,21.194,12.817,8.796,28.742,13.018,16.055,7.102,17.189
20663735,12.641,6.514,3.917,14.27,10.557,11.749,3.398,17.851
2231378,10.029,14.45,3.774,11.866,42.855000000000004,8.775,6.2170000000000005,14.474
595909,6.694,7.516,2.769,7.93,8.273,8.365,2.32,15.985
5272176,5.673,1.9220000000000002,0.578,9.231,2.516,5.219,1.055,7.774
1952976,2.301,8.248,4.08,7.114,13.806000000000001,7.7540000000000004,3.1870000000000003,18.05
24225279,6.2170000000000005,18.633,2.055,7.513,18.516,8.555,2.7729999999999997,21.709
2462689,7.695,12.736,6.171,9.854,8.068,7.737,3.492,8.718
20532852,0.9869999999999999,2.376,2.836,2.9210000000000003,0.469,0.484,0.656,0.8280000000000001
15401493,5.181,9.790000000000001,3.423,2.818,13.008000000000001,2.88,2.515,18.228
18188932,2.08,1.687,1.337,4.741,3.648,2.452,0.0,2.4530000000000003
2940516,0.605,2.015,0.25,3.118,1.679,2.009,0.383,1.907
1335380,17.888,13.969,7.119,27.174,12.857,19.439,6.647,17.011
1480747,10.84,21.976,2.344,14.307,53.04,10.431,11.552,27.509
24448645,1.206,2.664,0.891,3.855,3.199,1.328,0.9299999999999999,1.164
15072401,0.656,3.0300000000000002,0.0,1.874,3.461,1.7970000000000002,1.814,2.946
4018288,1.563,3.235,0.914,5.1129999999999995,6.833,1.244,1.867,5.428
4596602,9.189,6.679,4.516,11.404,9.973,2.5540000000000003,3.2720000000000002,7.929
15224586,0.616,1.3980000000000001,0.445,2.286,4.096,4.252,0.445,5.821
15585766,1.964,1.657,0.406,5.6049999999999995,4.026,2.097,0.461,2.563
1760737,0.40599999999999997,4.638,2.2430000000000003,2.096,4.209,3.564,4.571,4.226
29062594,0.485,2.282,0.0,0.86,2.099,1.157,0.32,2.523
29326153,2.443,2.007,1.1640000000000001,3.16,2.388,2.0469999999999997,0.0,1.242
9252321,12.031,3.64,4.32,14.785,5.3420000000000005,13.439,1.5310000000000001,7.188000000000001
8388648,1.371,10.961,0.32,3.3850000000000002,16.163,4.019,5.884,18.187
10644072,30.615,33.815,21.155,49.474,47.048,36.405,16.194,51.452
13455076,0.261,3.001,0.25,1.333,3.504,0.509,1.375,5.8420000000000005
33269085,0.535,3.6950000000000003,1.766,0.0,4.179,0.009,1.172,5.875
2254491,2.271,7.313,1.416,2.577,7.128,2.664,2.593,9.143
447194,9.645,6.593,4.703,11.215,8.004,9.772,0.9369999999999999,9.336
24165951,0.938,0.0,0.539,0.844,0.0,1.312,0.0,0.0
18549958,1.322,2.758,0.297,1.0110000000000001,3.2,0.656,1.633,4.765
12978934,2.212,6.593999999999999,1.3130000000000002,7.159,5.728,5.25,3.327,8.321
8471210,7.122,4.1240000000000006,6.738,14.677,4.487,11.721,4.257,10.826
1925869,10.545,11.575,1.296,14.25,6.942,7.064,3.368,11.969
10799612,3.3659999999999997,2.748,2.492,6.467,8.085,7.151,1.422,9.850999999999999
3150865,1.948,4.231,0.789,2.204,2.999,0.245,2.258,4.757
20591333,0.379,0.0,0.0,0.761,1.5310000000000001,0.5,0.0,0.461
28238240,0.333,0.0,0.391,0.547,0.515,0.0,1.109,0.641
5414895,29.291,23.363,9.57,30.431,22.402,13.333,10.463,42.693
17124781,13.731,10.108,9.827,20.381,8.246,13.801,6.07,10.414
5425205,9.35,9.367,2.672,14.883,13.154,8.354,2.749,16.377
28207941,0.0,0.0,0.0,0.0,4.220000000000001,0.0,0.125,3.217
14330027,0.721,3.758,0.0,1.197,4.038,0.0,3.618,2.7569999999999997
4356664,0.567,2.5389999999999997,0.445,0.5780000000000001,4.482,1.694,1.3599999999999999,5.039
19174305,2.351,7.054,2.617,7.210999999999999,10.564,3.8449999999999998,2.25,10.212
33417831,0.0,4.163,0.0,1.577,3.319,0.016,0.148,3.601
2408359,2.23,5.428,2.092,1.767,6.148,1.063,1.539,4.569
1838882,10.062,7.271,4.566,11.236,16.023,5.59,2.657,13.81
25755313,0.795,0.9139999999999999,0.352,0.74,1.0190000000000001,0.0,0.477,0.547
10016997,1.8639999999999999,4.5009999999999994,1.1400000000000001,3.092,2.718,1.312,2.688,2.883
8153846,1.941,4.813,1.488,1.2810000000000001,4.077,1.25,2.055,2.726
24486071,0.0,0.469,0.0,0.0,0.203,0.0,0.0,0.484
4466226,2.3890000000000002,11.562,3.117,8.853,16.072,18.716,7.203,11.735
27975390,0.0,0.0,0.758,0.0,1.06,0.0,0.0,0.804
6167400,5.067,3.837,2.9219999999999997,4.003,4.401,3.7079999999999997,1.811,3.798
17711304,7.188,3.718,3.8360000000000003,9.377,3.012,7.332,2.71,7.447
18392317,1.6900000000000002,5.969,1.2349999999999999,6.38,2.504,2.267,4.915,1.39
15161056,13.296,11.451,6.299,18.908,22.424,16.414,10.149,11.72
21500407,1.347,12.141,1.726,2.739,13.728,4.805,2.875,14.188
3459677,1.467,2.194,1.2429999999999999,1.8969999999999998,5.215,2.405,1.062,4.072
34420857,2.967,3.406,1.3159999999999998,4.649,6.042,4.218,2.6559999999999997,9.404
18369853,7.702,21.229,4.633,18.532,8.089,10.581999999999999,11.89,12.649000000000001
529276,12.154,10.334,2.383,21.157,8.566,10.548,10.955,10.782
20631892,17.027,4.101,2.069,20.793,4.162,7.457,4.103,9.623
24577134,0.41500000000000004,2.476,0.688,2.846,7.002000000000001,1.619,0.42200000000000004,6.124
32556450,0.188,1.984,0.0,0.461,2.423,0.509,0.281,2.593
455089,3.57,6.515,0.0,4.242,9.314,4.4719999999999995,5.992,10.095
23266463,0.341,1.8980000000000001,0.688,2.016,5.844,4.871,1.313,6.767
35779717,9.948,4.39,8.46,15.251000000000001,4.561999999999999,12.525,4.117,4.406
23299845,1.121,4.132,0.32,1.7810000000000001,4.715,0.531,0.375,3.7190000000000003
226664,3.319,15.708,2.806,6.458,24.479,8.803,3.062,16.303
25113407,0.527,1.704,0.0,2.376,1.5310000000000001,1.222,0.203,0.359
27403920,5.822,10.419,1.5970000000000002,9.752,10.767,7.013,4.071,18.469
2524925,6.442,8.882,1.0790000000000002,17.333000000000002,8.163,6.436,5.742999999999999,14.127
657446,11.15,17.527,5.413,11.985999999999999,17.735,11.757,6.469,19.861
